Process,"Inspection Date",PN,LN,Item,Avg,Max,Min,Range,Std.,CPK,Result,Emp#,MC#,Material,"Material Lot",LSL,CSL,USL,XCL,XUCL,XLCL,RUCL
"Glass Printing",10-11-23,501243,23X152-2,"Glass Thickness 2",.092,.105,.078,.027,.009,.48,failed,S3064,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",10-11-23,501243,23X154-2,"Glass Thickness 2",.082,.093,.075,.018,.007,.52,failed,S3309,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",10-11-23,501243,23X155-2,"Glass Thickness 2",.085,.090,.077,.012,.004,1.17,failed,S3309,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",10-11-23,501243,23X155-2,"Glass Thickness 2",.085,.090,.077,.012,.004,1.17,failed,S3309,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",10-11-23,501243,23X155-1,"Glass Thickness 2",.085,.089,.080,.008,.003,1.56,failed,S3309,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",14-11-23,501243,23X162-2,"Glass Thickness 2",.083,.085,.080,.006,.002,2.00,pass,S3309,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",14-11-23,501243,23X136-2,"Glass Thickness 2",.094,.104,.085,.019,.006,.61,failed,S3309,"A 2",LS-1320,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",14-11-23,501243,23X164-1,"Glass Thickness 2",.089,.096,.084,.012,.005,1.07,failed,S3309,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",14-11-23,501243,238023-2,"Glass Thickness 2",.088,.092,.082,.011,.003,1.89,pass,S3309,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",14-11-23,501243,239248-2,"Glass Thickness 2",.094,.105,.083,.021,.006,.61,failed,S3309,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",14-11-23,501243,23X161-2,"Glass Thickness 2",.083,.088,.079,.008,.003,1.33,failed,S3309,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",14-11-23,501243,23X164-2,"Glass Thickness 2",.095,.099,.086,.014,.004,.83,failed,S3309,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",14-11-23,501243,23X158-2,"Glass Thickness 2",.090,.093,.088,.006,.002,2.50,pass,S3309,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",14-11-23,501243,23X156-1,"Glass Thickness 2",.090,.091,.086,.005,.002,2.50,pass,S3064,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",14-11-23,501243,23X161-1,"Glass Thickness 2",.089,.093,.085,.008,.002,2.67,pass,S3064,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",14-11-23,501243,23X156-2,"Glass Thickness 2",.089,.093,.085,.008,.003,1.78,pass,S3064,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",14-11-23,501243,23X162-1,"Glass Thickness 2",.084,.090,.080,.010,.003,1.44,failed,S3309,"A 2",LS-1320/MK,2305151,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",27-12-23,501243,23z138-2,"Glass Thickness 2",.085,.091,.082,.010,.003,1.45,pass,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",28-12-23,501243,23Z140-2,"Glass Thickness 2",.087,.093,.084,.009,.002,2.20,pass,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",28-12-23,501243,23z146-2,"Glass Thickness 2",.085,.089,.081,.008,.003,1.73,pass,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",28-12-23,501243,23Z150-2,"Glass Thickness 2",.087,.091,.085,.006,.002,2.75,pass,S0597,"A 2",LS-1320/MK,2309551,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",04-01-24,501243,23Z174-1,"Glass Thickness 2",.087,.091,.084,.007,.002,2.50,pass,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",04-01-24,501243,23Z174-2,"Glass Thickness 2",.087,.090,.083,.007,.002,2.64,pass,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",04-01-24,501243,23Z177-1,"Glass Thickness 2",.085,.089,.078,.011,.003,1.64,pass,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",04-01-24,501243,23Z177-2,"Glass Thickness 2",.087,.093,.080,.014,.004,1.20,pass,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05-01-24,501243,23Z179-1,"Glass Thickness 2",.083,.086,.079,.007,.002,1.76,pass,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05-01-24,501243,23Z080-2,"Glass Thickness 2",.083,.085,.079,.006,.002,1.82,pass,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05-01-24,501243,23Z183-1,"Glass Thickness 2",.087,.089,.086,.003,.001,6.26,pass,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05-01-24,501243,23Z184-1,"Glass Thickness 2",.090,.096,.083,.013,.004,1.22,pass,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05-01-24,501243,23Z186-1,"Glass Thickness 2",.087,.091,.084,.007,.002,2.26,pass,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05-01-24,501243,23Z188-1,"Glass Thickness 2",.084,.088,.080,.009,.003,1.73,pass,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05-01-24,501243,23Z189-2,"Glass Thickness 2",.087,.091,.082,.009,.003,1.77,pass,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05-01-24,501243,23Z193-0,"Glass Thickness 2",.084,.089,.080,.009,.003,1.44,pass,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",06-01-24,501243,23Z194-0,"Glass Thickness 2",.085,.090,.081,.009,.002,1.95,pass,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
